epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,1648.68,0.40617,0.25271,0.85607,0.83116,0.85457,0.89357,0.74482,0.62451,0.41653,0.94907,2.55185e-05,2.55185e-05,2.55185e-05
87,1667.51,0.39707,0.24814,0.84379,0.84073,0.84269,0.88351,0.73771,0.61845,0.4182,0.95691,2.39246e-05,2.39246e-05,2.39246e-05
88,1686.6,0.39197,0.25277,0.84482,0.80459,0.88335,0.88387,0.74338,0.61939,0.41662,0.95504,2.23307e-05,2.23307e-05,2.23307e-05
89,1706.05,0.40716,0.25904,0.85781,0.84994,0.83135,0.88344,0.73674,0.62218,0.41581,0.95652,2.07368e-05,2.07368e-05,2.07368e-05
90,1725.48,0.39777,0.24896,0.84658,0.84195,0.83996,0.88699,0.7449,0.62387,0.41659,0.95557,1.91429e-05,1.91429e-05,1.91429e-05
91,1746.4,0.39822,0.21712,0.83289,0.79949,0.88863,0.88844,0.7488,0.62204,0.41035,0.95936,1.7549e-05,1.7549e-05,1.7549e-05
92,1765.48,0.38312,0.21899,0.82645,0.80181,0.88253,0.88745,0.74787,0.62353,0.41055,0.96217,1.59551e-05,1.59551e-05,1.59551e-05
93,1784.47,0.38189,0.21761,0.82518,0.80884,0.88076,0.88862,0.74839,0.62409,0.41217,0.9621,1.43612e-05,1.43612e-05,1.43612e-05
94,1803.68,0.37491,0.21347,0.8271,0.80143,0.88368,0.89178,0.75428,0.62796,0.41243,0.96141,1.27673e-05,1.27673e-05,1.27673e-05
95,1823.04,0.36666,0.2109,0.82096,0.80056,0.88166,0.89191,0.7529,0.62467,0.4073,0.96152,1.11734e-05,1.11734e-05,1.11734e-05
96,1841.78,0.36539,0.2078,0.82264,0.79526,0.89044,0.89094,0.7509,0.62498,0.40875,0.96002,9.5795e-06,9.5795e-06,9.5795e-06
97,1860.72,0.36773,0.20461,0.81724,0.79432,0.89407,0.89279,0.75148,0.62611,0.41109,0.96106,7.9856e-06,7.9856e-06,7.9856e-06
98,1879.77,0.36617,0.20283,0.82213,0.79346,0.88775,0.88886,0.75302,0.62497,0.41377,0.96105,6.3917e-06,6.3917e-06,6.3917e-06
99,1898.7,0.3678,0.20931,0.82635,0.78556,0.88425,0.88844,0.75332,0.62429,0.41345,0.96083,4.7978e-06,4.7978e-06,4.7978e-06
100,1917.64,0.35813,0.20319,0.81723,0.79777,0.88721,0.88936,0.75094,0.62626,0.41212,0.96059,3.2039e-06,3.2039e-06,3.2039e-06
